lump_sum_share,pension_share,liability_pv_eur,liability_duration,liability_dv01_eur_per_bp,pv_beyond_30_eur,pv_beyond_30_percent
1.0,0.0,6689695351.575722,15.000000000000002,10034546.790318012,0.0,0.0
0.7,0.3,6523404112.705575,17.93550563502829,11700064.124216557,441944293.55898434,0.06774749592750408
0.5,0.5,6412543286.792147,19.97709168733304,12810409.01348257,736573822.5983074,0.11486453808669352
0.3,0.7,6301682460.8787155,22.09050995820385,13920753.902748108,1031203351.6376302,0.1636393706029164
0.0,1.0,6135391222.008572,25.403840515620143,15586271.236647129,1473147645.1966147,0.24010655423442476
