direction,irs_tenor_years,irs_par_fixed_rate,irs_dv01_per_eur,irs_notional,residual_dv01_after_swap,tenor_selection_score,dv01_gap
receive-fixed,15,0.035228,0.0011876416588186278,3694758411.1108656,0.0,4.97709168733304,
receive-fixed,20,0.03551399999999999,0.0014598053628884222,3005913747.0377817,0.0,0.02290831266696003,-4388049.008305786
receive-fixed,25,0.03517499999999999,0.0016981345233559875,2584040868.348744,0.0,5.02290831266696,
receive-fixed,30,0.03460149999999999,0.001912253507834416,2294700462.2180834,0.0,10.02290831266696,
