,hist_var_eur
fi_bonds,1543131133.5266294
irs_hedge,-0.0
equity,963644997.2489043
high_yield,26691324.636612415
rates_credit_idx,38995938.538795784
fx_hedge_residual,187055245.04695502
futures_overlay,-0.0
liability_pnl,2919367280.0239716
