,hist_var_eur
fi_bonds,1583490954.2579498
irs_hedge,-0.0
equity,997766649.2564358
high_yield,28028293.015565287
rates_credit_idx,40310295.16932984
fx_hedge_residual,200567957.4888564
futures_overlay,-0.0
liability_pnl,3019276268.046766
