,hist_var_eur
fi_bonds,1631000962.0085375
equity,1013066637.6015061
high_yield,28060219.873438384
rates_credit_idx,40995890.030453585
fx_hedge_residual,196648588.10707635
futures_overlay,-0.0
liability_pnl,2919367280.0239716
