,hist_var_eur
fi_bonds,1583490954.2579498
irs_hedge,-0.0
equity,1673623774.037929
high_yield,47013815.877198435
rates_credit_idx,67615276.9629582
fx_hedge_residual,336426660.69639987
futures_overlay,-0.0
liability_pnl,3019276268.046766
