,Daily Volatility bp,10-Day Volatility bp
1Y,2.2770934633802837,7.200801789362915
2Y,3.4589334582403897,10.93810800300254
3Y,3.756909568997274,11.880391201312895
4Y,3.8253766266742875,12.096903048262375
5Y,3.9064563463197715,12.353299634390003
6Y,3.95817454823156,12.51684694891973
7Y,3.907141249760881,12.355465489241197
8Y,3.9246470851150503,12.410823801304272
9Y,3.9205731297938704,12.39794082340358
10Y,3.9469781817189684,12.481440929221904
