,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
1Y,1.0,0.9142455028168759,0.8554439994310227,0.8185067083596183,0.7803367317022688,0.7515256445071142,0.7223223738692737,0.6973260687204733,0.6763726753969029,0.649839434590243
2Y,0.9142455028168759,1.0,0.9797588213060924,0.9541578233817912,0.9186941000328834,0.8889760744612966,0.8618886351838394,0.8365072995732561,0.8111628568237309,0.7837478614818019
3Y,0.8554439994310227,0.9797588213060924,1.0,0.9829334474174006,0.9569131724687902,0.9341678192358092,0.9126575516806171,0.8908955142542838,0.8668289623361468,0.8416821893975004
4Y,0.8185067083596183,0.9541578233817912,0.9829334474174006,1.0,0.9871685668730866,0.9709439320679555,0.9597689103923123,0.9415095805308102,0.9215407902078514,0.9009464936452487
5Y,0.7803367317022688,0.9186941000328834,0.9569131724687902,0.9871685668730866,1.0,0.9864535682069033,0.98017769855592,0.9685925879888744,0.9527498548419379,0.9353311080766123
6Y,0.7515256445071142,0.8889760744612966,0.9341678192358092,0.9709439320679555,0.9864535682069033,1.0,0.985597756483117,0.9794019398616501,0.9688436135571297,0.9543800014666516
7Y,0.7223223738692737,0.8618886351838394,0.9126575516806171,0.9597689103923123,0.98017769855592,0.985597756483117,1.0,0.9944098457522951,0.9878839053682328,0.9801462544748475
8Y,0.6973260687204733,0.8365072995732561,0.8908955142542838,0.9415095805308102,0.9685925879888744,0.9794019398616501,0.9944098457522951,1.0,0.9941775270383439,0.989946248535836
9Y,0.6763726753969029,0.8111628568237309,0.8668289623361468,0.9215407902078514,0.9527498548419379,0.9688436135571297,0.9878839053682328,0.9941775270383439,1.0,0.99308752560272
10Y,0.649839434590243,0.7837478614818019,0.8416821893975004,0.9009464936452487,0.9353311080766123,0.9543800014666516,0.9801462544748475,0.989946248535836,0.99308752560272,1.0
