instrument,issuer,coupon,years_to_maturity,market_price_per_100,modified_duration,convexity,nominal_eur,eur_allocation,portfolio_weight
ITALY 5.345 01/27/2048 Corp,Republic of Italy,0.05345,21.401779603011637,103.423,13.497831193761304,243.8678090974883,725177184.9525943,749999999.9935216,0.15000000001934394
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,0.0375,18.803559206023273,90.876,13.479252559401486,231.9974611452167,825300409.3223903,749999999.9758154,0.15000000001580271
EU 4 10/12/2055 REGS Corp,European Union,0.04,29.1088295687885,92.796,17.582419703618662,423.91529789493853,808224492.408435,749999999.9753314,0.1500000000157059
EU 0.7 07/06/2051 REGS Corp,European Union,0.007,24.840520191649556,45.373,21.28104699076032,513.6958629955316,1652965419.8242872,749999999.9368737,0.15000000000801436
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,0.0425,14.568104038329912,99.749,11.136271292981466,156.11220657800106,751887236.7543244,749999999.790071,0.14999999997865382
KFW 0.945 12/17/2040 Corp,KfW,0.00945,14.291581108829568,66.222,12.54277981564248,177.3646961575771,722288167.4143962,478313670.2251614,0.09566273405819523
IBRD 0 11/09/2061 Corp,World Bank (IBRD),0.0,35.186858316221766,23.537,33.85613682642578,1178.9876579756542,1273858835.129967,299828154.0245403,0.05996563081315918
IBRD 0 04/23/2059 Corp,World Bank (IBRD),0.0,32.63791923340178,25.613,31.921500436344306,1049.8604382926064,576112135.1075892,147559601.16510683,0.029511920237082132
SLOVGB 2 ¼ 06/12/2068 REGS Corp,Slovak Republic,0.0225,41.776865160848736,58.516,24.56088912058773,844.7707556964247,237419019.36271402,138928113.37028575,0.02778562267788038
AFDB 0 10/10/2057 Corp,African Development Bank,0.0,31.104722792607802,29.568,29.986864046262834,928.2188545332135,363436493.4977217,107460902.39740634,0.021492180482438537
NRW 2.15 03/21/2119 REGS Corp,North Rhine-Westphalia,0.0215,92.5448323066393,3.901,32.18599293267308,1834.9578065480537,1997168891.5123844,77909558.45789811,0.015581911693723654
