instrument,issuer,coupon,years_to_maturity,market_price_per_100,modified_duration,convexity,nominal_eur,eur_allocation,portfolio_weight
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,0.0425,14.568104038329912,99.749,11.136271292981466,156.11220657800106,751887236.9919763,750000000.0271264,0.15000000006331357
KFW 0.945 12/17/2040 Corp,KfW,0.00945,14.291581108829568,66.222,12.54277981564248,177.3646961575771,1132554136.116884,750000000.0193229,0.15000000006175285
ITALY 5.345 01/27/2048 Corp,Republic of Italy,0.05345,21.401779603011637,103.423,13.497831193761304,243.8678090974883,725177184.9493811,749999999.9901984,0.15000000005592795
RENTEN 3.676 10/12/2043 REGS Corp,Rentenbank,0.03675,17.1088295687885,96.92,12.502941564968165,196.58912703097187,773834089.8981177,749999999.9292557,0.15000000004373942
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,0.0375,18.803559206023273,90.876,13.479252559401486,231.9974611452167,825300409.1801518,749999999.8465548,0.15000000002719924
EU 4 10/12/2055 REGS Corp,European Union,0.04,29.1088295687885,92.796,17.582419703618662,423.91529789493853,808224492.2689755,749999999.8459185,0.15000000002707198
NRW 2.15 03/21/2119 REGS Corp,North Rhine-Westphalia,0.0215,92.5448323066393,3.901,32.18599293267308,1834.9578065480537,10154034539.276354,396108887.37717056,0.07922177750600753
NETHER 2 ¾ 01/15/2047 Corp,Kingdom of the Netherlands,0.0275,20.369609856262834,85.059,14.758312327975675,271.63023107739264,122140053.74439648,103891108.31444618,0.020778221670908006
ITALY 2.97 01/24/2044 REGS Corp,Republic of Italy,0.0297,17.39356605065024,106.707,12.949105876204031,206.7170577814577,2.5494085703317757,2.720397403143928,5.440794808387578e-10
