instrument,issuer,coupon,years_to_maturity,market_price_per_100,modified_duration,convexity,nominal_eur,eur_allocation,portfolio_weight
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,0.0425,14.568104038329912,99.749,11.136271292981466,156.11220657800106,751887236.9670172,750000000.00223,0.15000000001385655
KFW 0.945 12/17/2040 Corp,KfW,0.00945,14.291581108829568,66.222,12.54277981564248,177.3646961575771,1132554136.0889363,750000000.0008154,0.1500000000135736
ITALY 5.345 01/27/2048 Corp,Republic of Italy,0.05345,21.401779603011637,103.423,13.497831193761304,243.8678090974883,725177184.9539378,749999999.9949111,0.15000000001239275
RENTEN 3.676 10/12/2043 REGS Corp,Rentenbank,0.03675,17.1088295687885,96.92,12.502941564968165,196.58912703097187,773834089.8281996,749999999.861491,0.14999999998570873
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,0.0375,18.803559206023273,90.876,13.479252559401486,231.9974611452167,825300409.0357647,749999999.7153416,0.14999999995647884
NRW 2.15 03/21/2119 REGS Corp,North Rhine-Westphalia,0.0215,92.5448323066393,3.901,32.18599293267308,1834.9578065480537,18644360879.116127,727316517.89432,0.14546330359186893
EU 4 10/12/2055 REGS Corp,European Union,0.04,29.1088295687885,92.796,17.582419703618662,423.91529789493853,563260789.3485422,522683482.0838733,0.10453669642612061
