instrument,issuer,coupon,years_to_maturity,market_price_per_100,modified_duration,convexity,nominal_eur,eur_allocation,portfolio_weight
ITALY 5.345 01/27/2048 Corp,Republic of Italy,0.05345,21.401779603011637,103.423,13.497831193761304,243.8678090974883,725177184.9558278,749999999.9968659,0.15000000000823172
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,0.0375,18.803559206023273,90.876,13.479252559401486,231.9974611452167,825300409.3398113,749999999.9916469,0.1500000000071879
EU 4 10/12/2055 REGS Corp,European Union,0.04,29.1088295687885,92.796,17.582419703618662,423.91529789493853,808224492.4205242,749999999.9865499,0.1500000000061685
EU 0.7 07/06/2051 REGS Corp,European Union,0.007,24.840520191649556,45.373,21.28104699076032,513.6958629955316,1652965419.9254043,749999999.9827535,0.15000000000540922
RAGB 1.85 05/23/2049 Corp,Republic of Austria,0.0185,22.72142368240931,68.056,17.46432509118478,372.5006045590297,1092453437.8125777,743480111.6377277,0.14869602233632706
IBRD 0 11/09/2061 Corp,World Bank (IBRD),0.0,35.186858316221766,23.537,33.85613682642578,1178.9876579756542,1842375931.8917286,433640023.0893561,0.08672800462299311
AFDB 0 10/10/2057 Corp,African Development Bank,0.0,31.104722792607802,29.568,29.986864046262834,928.2188545332135,909281633.6868714,268856393.44853413,0.05377127869288239
SLOVGB 2 ¼ 06/12/2068 REGS Corp,Slovak Republic,0.0225,41.776865160848736,58.516,24.56088912058773,844.7707556964247,452826609.82461125,264976019.00496954,0.05299520380412364
IBRD 0 04/23/2059 Corp,World Bank (IBRD),0.0,32.63791923340178,25.613,31.921500436344306,1049.8604382926064,810668244.979213,207636457.5865258,0.041527291519757634
NRW 2.15 03/21/2119 REGS Corp,North Rhine-Westphalia,0.0215,92.5448323066393,3.901,32.18599293267308,1834.9578065480537,1524117326.98847,59455816.92582021,0.011891163385866297
NETHER 2 ¾ 01/15/2047 Corp,Kingdom of the Netherlands,0.0275,20.369609856262834,85.059,14.758312327975675,271.63023107739264,25811704.880101815,21955178.053965803,0.004391035611052482
