nc,n_call_dates,best_call_year,coupon_bp,d_coupon_vs_NC2_bp,bullet_bp,spread_vs_bullet_bp,price_check
2,1,2,351.1073825725997,0.0,325.19,25.917382572599735,100.00000000000004
3,1,3,346.51932654329664,-4.588056029303061,325.19,21.329326543296638,100.0
4,1,4,340.7931355523429,-10.3142470202568,325.19,15.603135552342899,100.0
5,1,5,335.3680999988557,-15.739282573743992,325.19,10.178099998855716,100.00000000000001
6,1,6,330.10320085827306,-21.00418171432665,325.19,4.91320085827307,100.00000000000003
