tenor,callable_dv01,bullet_dv01
1Y,127.44186717483785,83.21987884585269
2Y,258.40385415420997,168.7384053070673
3Y,80068.20472867558,256.9825107308077
4Y,200.85182264040213,348.0155071784452
5Y,230.91621817528107,441.9023486903484
6Y,253.90540271885698,538.7405638579423
7Y,146500.12547083336,309789.25922351406
8Y,-0.0,-0.0
9Y,-0.0,-0.0
10Y,-0.0,-0.0
TOTAL,227639.84936437252,311626.85843812453
