scenario,shift_1y/10y_bp,par_coupon_bp,d_par_bp,spread_bp,d_spread_bp,callable_mtm,call_value_pts,d_call_value_pts,issuer_pnl,bullet_pnl,call_contribution
base,0/0,346.51932654329664,0.0,21.329326543296638,0.0,100.0,1.3187937078861154,0.0,0.0,0.0,0.0
unchanged,+0/+0,346.51932654329664,0.0,21.329326543296638,0.0,100.0,1.3187937078861154,0.0,0.0,0.0,0.0
parallel -200bp,-200/-200,131.79372760169124,-214.7255989416054,6.603727601691336,-14.725598941605302,106.74129314128436,8.033093845745114,6.714300137858999,-33706465.70642179,-67277966.39571679,33571500.689294994
parallel -100bp,-100/-100,239.22079854420016,-107.29852799909648,14.030798544200259,-7.298527999096379,103.72207295921021,4.069701088736053,2.750907380849938,-18610364.796051044,-32364901.700300734,13754536.90424969
parallel -50bp,-50/-50,292.89084071150074,-53.6284858317959,17.700840711500632,-3.628485831796006,102.07058938726293,2.423716653961961,1.1049229460758454,-10352946.936314637,-15877561.666693864,5524614.730379228
parallel +50bp,+50/+50,400.10577001512723,53.58644347183059,24.915770015127222,3.5864434718305844,97.56045993905585,0.6996449875897355,-0.6191487202963799,12197700.304720769,15293443.906202668,-3095743.6014818996
parallel +100bp,+100/+100,453.6497264392189,107.13039989592227,28.45972643921911,7.130399895922473,94.93767050014834,0.37567747550401975,-0.9431162323820956,25311647.499258284,30027228.66116876,-4715581.161910478
parallel +200bp,+200/+200,560.608599711653,214.08927316835639,35.41859971165302,14.089273168356385,89.6109769809642,0.12621416991530054,-1.1925795379708148,51945115.09517902,57908012.78503309,-5962897.689854071
bull flattener 100bp,-50/-150,247.08357621736482,-99.43575032593182,38.56024288403152,17.23091634073488,102.91502491578524,5.92958940996229,4.6107957020761745,-14575124.578926193,-37629103.08930706,23053978.51038087
bear steepener 100bp,+50/+150,457.5330390930725,111.01371254977585,15.67637242640592,-5.652954116890719,94.15676467636032,0.15340056519427492,-1.1653931426918405,29216176.618198376,35043142.33165758,-5826965.713459205
steepener +50bp (2s10s),-25/+25,348.25615824186343,1.7368316985667889,14.732824908529826,-6.5965016347668115,99.91889561906889,0.8854118457989131,-0.4333818620872023,405521.9046555436,2572431.215091555,-2166909.3104360113
flattener +50bp (2s10s),+25/-25,347.5366395741555,1.0173130308588725,30.679972907488793,9.350646364192155,99.96063804524337,1.871679560679354,0.5528858527932385,196809.77378314425,-2567619.4901830484,2764429.2639661925
mid-curve bulge +50bp @5y,+0/+0,373.0402083971459,26.520881853849232,31.18354173047927,9.854215187182632,98.72521045695652,1.5601942092662426,0.24140050138012725,6373947.7152174115,5166945.208316776,1207002.5069006355
mid-curve bulge -50bp @5y,-0/-0,328.60881741251296,-17.91050913078368,20.08548407917969,-1.2438424641169483,100.74226691271161,1.630939408324764,0.31214570043864853,-3711334.5635580686,-5272063.065751311,1560728.5021932428
