tenor,callable_dv01,bullet_dv01
1Y,188.33429519915512,124.86866304683986
2Y,43081.01628713601,253.18637045756986
3Y,19187.79251616698,385.593718544186
4Y,14322.93109892413,522.1857049484413
5Y,14289.480033493617,663.0597910373126
6Y,16979.179888604533,808.3623152401742
7Y,101663.73527932394,310108.87225247076
8Y,-0.0,-0.0
9Y,-0.0,-0.0
10Y,-0.0,-0.0
TOTAL,209712.46939884836,312866.1288157453
