key_tenor,liability,stage2,gap
2.0,0.0,90621.99863695733,-90621.99863695733
5.0,0.0,297124.094095635,-297124.094095635
10.0,0.0,576623.7019600912,-576623.7019600912
15.0,5688798.938705072,3311026.5879076156,2377772.350797456
20.0,1793071.97746939,1347888.4133332928,445183.5641360972
25.0,1771315.5297393491,1706346.7562504357,64968.77348891343
30.0,2171089.367412889,1374735.5176554793,796353.8497574097
40.0,1386120.7055971685,0.0,1386120.7055971685
