date,book,method,var
2018-12-04,irs_recv_5y,Monte Carlo,15368870.363811808
2018-12-04,irs_recv_5y,PCA + GARCH,8046782.601308482
2018-12-04,irs_recv_10y,Delta-Normal,125987075.43394248
2018-12-04,irs_recv_10y,Monte Carlo,125039643.52390142
2018-12-04,irs_recv_10y,PCA + GARCH,74504294.01576886
2018-12-04,fwd_recv_2y5y,Delta-Normal,46381980.0428613
2018-12-04,fwd_recv_2y5y,Monte Carlo,45751516.3180582
2018-12-04,fwd_recv_2y5y,PCA + GARCH,26769549.82083794
2018-12-04,fwd_recv_5y5y,Delta-Normal,75957345.83582073
2018-12-04,fwd_recv_5y5y,Monte Carlo,75426825.32927653
2018-12-04,fwd_recv_5y5y,PCA + GARCH,42230028.41890442
2018-12-04,payer_5y,Delta-Normal,133350511.86585338
2018-12-04,payer_5y,Monte Carlo,135254624.7990169
2018-12-04,payer_5y,PCA + GARCH,79889873.40712872
2018-12-04,payer_10y,Delta-Normal,248782121.50488353
2018-12-04,payer_10y,Monte Carlo,254710458.94489363
2018-12-04,payer_10y,PCA + GARCH,150189076.256938
2018-12-11,unhedged,Delta-Normal,63447488.47436248
2018-12-11,unhedged,Monte Carlo,63932803.772180185
2018-12-11,unhedged,PCA + GARCH,42151721.59908771
2018-12-11,irs_recv_5y,Delta-Normal,15536326.67455257
2018-12-11,irs_recv_5y,Monte Carlo,15404828.225996181
2018-12-11,irs_recv_5y,PCA + GARCH,8110884.295834384
2018-12-11,irs_recv_10y,Delta-Normal,125524738.11824624
2018-12-11,irs_recv_10y,Monte Carlo,126752071.30157298
2018-12-11,irs_recv_10y,PCA + GARCH,82752025.858384
2018-12-11,fwd_recv_2y5y,Delta-Normal,46202992.680993535
2018-12-11,fwd_recv_2y5y,Monte Carlo,46229810.7982972
2018-12-11,fwd_recv_2y5y,PCA + GARCH,28977520.96343967
2018-12-11,fwd_recv_5y5y,Delta-Normal,75570747.55246753
2018-12-11,fwd_recv_5y5y,Monte Carlo,75014689.35292943
2018-12-11,fwd_recv_5y5y,PCA + GARCH,45193350.484454
2018-12-11,payer_5y,Delta-Normal,133183853.25958635
2018-12-11,payer_5y,Monte Carlo,134978890.41599137
2018-12-11,payer_5y,PCA + GARCH,88558760.25472979
2018-12-11,payer_10y,Delta-Normal,248200614.0613553
2018-12-11,payer_10y,Monte Carlo,252202241.8701076
2018-12-11,payer_10y,PCA + GARCH,166587271.44618076
2018-12-18,unhedged,Delta-Normal,63347212.47188473
2018-12-18,unhedged,Monte Carlo,63465381.82562145
2018-12-18,unhedged,PCA + GARCH,43773525.72217443
2018-12-18,irs_recv_5y,Delta-Normal,15543083.64141518
2018-12-18,irs_recv_5y,Monte Carlo,15181569.860636143
2018-12-18,irs_recv_5y,PCA + GARCH,8513670.05964207
2018-12-18,irs_recv_10y,Delta-Normal,125446581.18247227
2018-12-18,irs_recv_10y,Monte Carlo,125296647.35366891
2018-12-18,irs_recv_10y,PCA + GARCH,83347671.23441586
2018-12-18,fwd_recv_2y5y,Delta-Normal,46211685.625236504
2018-12-18,fwd_recv_2y5y,Monte Carlo,46357048.925517544
2018-12-18,fwd_recv_2y5y,PCA + GARCH,29330111.800044596
2018-12-18,fwd_recv_5y5y,Delta-Normal,75485043.01777218
2018-12-18,fwd_recv_5y5y,Monte Carlo,75217618.11746427
2018-12-18,fwd_recv_5y5y,PCA + GARCH,45680278.91459391
2018-12-18,payer_5y,Delta-Normal,133049351.59198792
2018-12-18,payer_5y,Monte Carlo,133891128.81127888
2018-12-18,payer_5y,PCA + GARCH,91578759.60789195
2018-12-18,payer_10y,Delta-Normal,247938564.49085552
2018-12-18,payer_10y,Monte Carlo,250005031.70658073
2018-12-18,payer_10y,PCA + GARCH,172041218.15883937
2019-01-03,unhedged,Delta-Normal,63195840.21890266
2019-01-03,unhedged,Monte Carlo,62890397.01212965
2019-01-03,unhedged,PCA + GARCH,39856014.20421106
2019-01-03,irs_recv_5y,Delta-Normal,15683721.187609836
2019-01-03,irs_recv_5y,Monte Carlo,15597303.52937653
2019-01-03,irs_recv_5y,PCA + GARCH,8315760.606945137
2019-01-03,irs_recv_10y,Delta-Normal,126949390.05790496
2019-01-03,irs_recv_10y,Monte Carlo,124321809.83229144
2019-01-03,irs_recv_10y,PCA + GARCH,81090054.46029527
2019-01-03,fwd_recv_2y5y,Delta-Normal,46832494.773558766
2019-01-03,fwd_recv_2y5y,Monte Carlo,46006043.75165422
2019-01-03,fwd_recv_2y5y,PCA + GARCH,28789443.188435923
2019-01-03,fwd_recv_5y5y,Delta-Normal,76644796.62021388
2019-01-03,fwd_recv_5y5y,Monte Carlo,74329043.64579347
2019-01-03,fwd_recv_5y5y,PCA + GARCH,46193914.63175114
2019-01-03,payer_5y,Delta-Normal,133053826.35034545
2019-01-03,payer_5y,Monte Carlo,133912363.64026652
2019-01-03,payer_5y,PCA + GARCH,83762839.23137471
2019-01-03,payer_10y,Delta-Normal,249177115.81199336
2019-01-03,payer_10y,Monte Carlo,251010513.37074614
2019-01-03,payer_10y,PCA + GARCH,157018281.7699086
2019-01-10,unhedged,Delta-Normal,63203850.05619735
2019-01-10,unhedged,Monte Carlo,62895567.54618888
2019-01-10,unhedged,PCA + GARCH,46738771.0243099
2019-01-10,irs_recv_5y,Delta-Normal,15546518.413460113
2019-01-10,irs_recv_5y,Monte Carlo,15650481.698196076
2019-01-10,irs_recv_5y,PCA + GARCH,9132136.848724328
2019-01-10,irs_recv_10y,Delta-Normal,125617402.88956387
2019-01-10,irs_recv_10y,Monte Carlo,124404247.70845194
2019-01-10,irs_recv_10y,PCA + GARCH,90416877.58749671
2019-01-10,fwd_recv_2y5y,Delta-Normal,46334584.598013416
2019-01-10,fwd_recv_2y5y,Monte Carlo,46352112.77056383
2019-01-10,fwd_recv_2y5y,PCA + GARCH,31806387.42030977
2019-01-10,fwd_recv_5y5y,Delta-Normal,75603000.99271259
2019-01-10,fwd_recv_5y5y,Monte Carlo,74814528.25991774
2019-01-10,fwd_recv_5y5y,PCA + GARCH,51536388.246861205
2019-01-10,payer_5y,Delta-Normal,132873364.82955801
2019-01-10,payer_5y,Monte Carlo,131982192.68984431
2019-01-10,payer_5y,PCA + GARCH,98191392.70189528
2019-01-10,payer_10y,Delta-Normal,247838918.25822672
2019-01-10,payer_10y,Monte Carlo,248849425.1145835
2019-01-10,payer_10y,PCA + GARCH,183770967.36117458
2019-01-17,unhedged,Delta-Normal,63111498.64339596
2019-01-17,unhedged,Monte Carlo,63371888.07269925
2019-01-17,unhedged,PCA + GARCH,45912137.85026512
2019-01-17,irs_recv_5y,Delta-Normal,15558313.718591537
2019-01-17,irs_recv_5y,Monte Carlo,15323256.476773022
2019-01-17,irs_recv_5y,PCA + GARCH,10793814.234327026
2019-01-17,irs_recv_10y,Delta-Normal,125601322.70624237
2019-01-17,irs_recv_10y,Monte Carlo,122550912.49527602
2019-01-17,irs_recv_10y,PCA + GARCH,93856573.991547
2019-01-17,fwd_recv_2y5y,Delta-Normal,46348480.520754166
2019-01-17,fwd_recv_2y5y,Monte Carlo,45572592.12893871
2019-01-17,fwd_recv_2y5y,PCA + GARCH,33070228.408820394
2019-01-17,fwd_recv_5y5y,Delta-Normal,75626816.64946772
2019-01-17,fwd_recv_5y5y,Monte Carlo,74202758.83940423
2019-01-17,fwd_recv_5y5y,PCA + GARCH,62058087.2700672
2019-01-17,payer_5y,Delta-Normal,132767169.47925907
2019-01-17,payer_5y,Monte Carlo,133847833.30797036
2019-01-17,payer_5y,PCA + GARCH,97233665.44273938
2019-01-17,payer_10y,Delta-Normal,247622600.0466507
2019-01-17,payer_10y,Monte Carlo,249305994.99522203
2019-01-17,payer_10y,PCA + GARCH,178526408.13867506
2019-01-24,unhedged,Delta-Normal,63000541.47451442
2019-01-24,unhedged,Monte Carlo,62907021.34795884
2019-01-24,unhedged,PCA + GARCH,44208820.812723115
