swap,realised_pnl_unhedged,realised_pnl_hedged,hedge_contribution,worst_10d_loss_unhedged,worst_10d_loss_hedged,worst_loss_reduction,pnl_stdev_unhedged,pnl_stdev_hedged,avg_var_unhedged,avg_var_hedged,avg_var_reduction,var_breaches_unhedged,var_breaches_hedged
irs_recv_5y,1908056500.0,152088721.5461108,-1755967778.4538891,314506499.99999994,50924600.6917406,263581899.30825934,101749778.70901178,11898594.973342039,106654869.73563118,15759403.929676073,90895465.80595511,84,73
irs_recv_10y,1908056500.0,-811156302.0382652,-2719212802.038265,314506499.99999994,381530396.1111791,-67023896.11117917,101749778.70901178,87160589.48432493,106654869.73563118,134163698.73395523,-27508828.99832405,84,83
fwd_recv_2y5y,1908056500.0,544610066.4779766,-1363446433.5220234,314506499.99999994,170719577.56766567,143786922.43233427,101749778.70901178,39856891.57779013,106654869.73563118,49045358.427206464,57609511.30842472,84,94
fwd_recv_5y5y,1908056500.0,905899366.1447148,-1002157133.8552852,314506499.99999994,208119304.2570909,106387195.74290904,101749778.70901178,64621811.17959456,106654869.73563118,89800988.86248939,16853880.873141795,84,82
payer_5y,1908056500.0,3664024278.453889,1755967778.453889,314506499.99999994,639993843.5685914,-325487343.5685914,101749778.70901178,199120633.67303947,106654869.73563118,213361017.87792706,-106706148.14229588,84,89
payer_10y,1908056500.0,4627269302.038265,2719212802.038265,314506499.99999994,824170129.3967066,-509663629.39670664,101749778.70901178,274095244.0432117,106654869.73563118,337963296.8198874,-231308427.08425623,84,75
