Scenario,Duration,Delta-Normal VaR EUR m,Monte Carlo VaR EUR m,GARCH VaR EUR m
Low,3.0,172.5838652360958,172.98375439565098,144.88841617920312
Base,5.0,287.639775393493,288.306257326085,241.48069363200523
High,7.0,402.69568555089023,403.628760256519,338.07297108480736
